列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
Dorn Areas Keywords/Identifiers,1513244,102.69%,2.69%,0.2282253312,14.44248165%,95.55420813%,100.2%,104.6863539%,554.2558034%,529301517043,0.0000,0.06770193837,,Dorn Areas Keywords/Identifiers,357739,98.5%,-1.5%,0.1379998884,42.73829968%,92.003685%,98.4%,102.6280512%,349.3449535%,22603143298,0.0000,-0.283674296
Dorn Areas Keywords/Comments,1432043,123.82%,23.82%,3.102260665,0.8053221289%,91.7537939%,100.0%,109.6576424%,13950.48867%,436101653286,0.0000,0.07288374336,,Dorn Areas Keywords/Comments,340144,105.8%,5.8%,1.276742963,2.391195068%,79.872514%,98.2%,102.8482686%,3698.247966%,19214584932,0.0000,-0.2921961129
Dorn Areas Keywords,1513244,101.67%,1.67%,0.285110662,8.110062261%,94.96995659%,100.0%,104.4606417%,948.1821138%,561725822295,0.0000,-0.01368097551,,Dorn Areas Keywords,357739,97.1%,-2.9%,0.1430997269,25.86474981%,89.077869%,98.7%,101.6860607%,228.1774629%,21474646142,0.0000,-0.3255192228
Dorn Areas Identifiers/Comments,1432043,133.89%,33.89%,7.153966305,1.239576928%,93.75622942%,100.3%,110.8379073%,43771.0492%,460469286754,0.0000,0.07549153036,,Dorn Areas Identifiers/Comments,340144,110.2%,10.2%,1.590919732,1.239576928%,88.135445%,97.8%,104.2032038%,4681.24844%,22128625069,0.0000,-0.2079486095
Dorn Areas Identifiers,1513244,100.32%,0.32%,0.2283281129,17.16413083%,96.60524033%,100.0%,102.4257915%,712.0182537%,556067377884,0.0000,-0.02524334108,,Dorn Areas Identifiers,357739,99.4%,-0.6%,0.1355738301,22.15947231%,95.735738%,99.5%,101.3722218%,298.011122%,24975139471,0.0000,-0.2154166127
Dorn Areas Comments,1451526,150.95%,50.95%,8.08803271,0%,94.33161304%,99.9%,105.3697287%,24892.42424%,523422625333,0.0165,0.002300782493,,Dorn Areas Comments,341768,118.0%,18.0%,1.579117177,0%,97.810694%,100.8%,107.8095465%,4972.103757%,23034111749,0.0000,0.2071631485
Dorn align extent,1512554,136.73%,36.73%,5.233269623,0%,95.36745407%,100.3%,108.5995086%,21000%,489512202058,0.0000,0.1004643524,,Dorn align extent,357595,107.9%,7.9%,0.7344829988,1.373626374%,89.415227%,96.8%,103.9028888%,2129.166667%,24422917199,0.0000,-0.210982065
Dorn align blocks,1512554,125.95%,25.95%,3.288847074,0%,95.28619529%,100.3%,108.6296618%,12644.44444%,475478158844,0.0000,0.1146586291,,Dorn align blocks,357595,105.9%,5.9%,0.5896492903,2.5%,93.665114%,97.3%,103.0927835%,1021.212121%,24028368050,0.0000,-0.2159043694
BW Max words,1513307,114.14%,14.14%,1.056958273,3.90625%,96.61964333%,100.0%,106.7128173%,4575%,346336577343,0.0000,0.1302428587,,BW Max words,357955,104.5%,4.5%,0.4172835475,6.134969325%,96.008383%,99.1%,101.8461538%,950%,19509309602,0.0000,-0.1557401127
BW Max numbers,1357969,117.39%,17.39%,1.308535578,0%,100%,100.0%,100%,2000%,97744529651,0.0000,-0.05473943743,,BW Max numbers,346997,107.7%,7.7%,0.7034612888,0%,97.044335%,100.0%,104.2228212%,900%,12294363874,0.0000,-0.03290077404
